provider_id,user_id,location_id,cancellation_rate,response_time
1,3058,1,7.34,37.4
2,10294,1,5.3,44.2
3,650,1,14.09,1
4,27041,1,8.81,67.8
5,13128,1,17.06,41.3
6,7459,1,3.16,26.3
7,25998,1,8.57,27
8,28378,1,14.59,27.2
9,15952,1,3,82.4
10,2720,1,9.84,46.6
11,25662,1,13.14,75.4
12,19376,1,2.03,71.1
13,7652,1,8.5,18.3
14,25404,1,11.57,15
15,23988,1,1.1,29.9
16,21674,1,11.99,60.8
17,13956,1,0,42.1
18,11525,1,14.15,82.1
19,17090,1,4.69,84.6
20,1482,1,5.77,16.8
21,22698,1,10.37,38.7
22,21776,1,11.9,51.7
23,27144,1,15.32,56.9
24,5723,1,10.4,70
25,1216,1,5.39,18.5
26,20913,1,10.12,35.6
27,13341,1,7.31,56.4
28,12051,1,13.66,83.9
29,22674,1,4.36,63
30,25228,1,0.95,33.9
31,28833,1,8.58,48.2
32,11087,1,12.59,38.5
33,5881,1,19.84,54.9
34,14607,1,11.58,97.9
35,10369,1,19.9,46.5
36,22133,1,11.58,34.2
37,25777,1,0,20.8
38,11594,1,13.29,74.8
39,3957,1,3.08,35.9
40,2975,1,6.92,6.8
41,2507,1,14.3,62.6
42,29606,1,9.26,49.8
43,17330,1,8.89,36.4
44,10402,1,14.61,52
45,17985,1,4.38,67.1
46,24237,1,4.83,37
47,14245,1,8.27,31.3
48,29561,1,9.42,65.6
49,20022,1,0,1
50,28344,1,13.6,50.5
51,28898,1,7.05,1
52,8484,1,6.61,38.1
53,25245,1,2.29,75.6
54,9365,1,0.12,73.8
55,13752,1,10.82,45.2
56,5947,1,7.76,35.2
57,2022,1,9.89,20.7
58,13728,1,15.02,63.7
59,665,1,11.04,56.3
60,24029,1,4.11,57.8
61,21884,1,3.1,56.1
62,3071,1,4.9,24
63,19950,1,15.81,129.4
64,23270,1,5.8,60.1
65,13949,1,9.98,1
66,22676,1,15.95,53.8
67,8960,1,4.38,1
68,14721,1,5.95,43.9
69,25452,1,0,35.4
70,77,1,4.7,50.1
71,10190,1,0,75.1
72,19368,1,16.1,31.7
73,4558,1,8.08,46.7
74,1923,1,15.46,37.5
75,5892,1,2.32,38.4
76,23110,1,3.97,91.7
77,1266,1,10.7,48.7
78,27090,1,12.25,60.9
79,7798,1,4.12,65.1
80,12620,1,11.47,65
81,7939,1,13.19,17.3
82,12870,1,8.05,27.7
83,17693,1,3.98,112.5
84,11611,1,7.04,93
85,15826,1,1.29,36.7
86,391,1,5.74,42.9
87,300,1,5.76,43.1
88,9444,1,3.41,82.3
89,9207,1,20.16,52.7
90,4991,1,15.34,41
91,29466,1,6.65,36
92,24771,1,11.22,104
93,14570,1,9.36,47.7
94,7112,1,12.34,55.4
95,14597,1,2.8,37.2
96,13084,1,10.49,18.3
97,19188,1,7.83,15.3
98,18680,1,12.22,36.1
99,2614,1,5.12,70.5
100,960,1,8.44,32.2
101,21126,1,8.45,13.8
102,22738,1,9.74,45.8
103,8693,1,8.51,59.9
104,7229,1,7.42,13
105,7278,1,0.84,44.4
106,27712,1,4.03,34.5
107,12060,1,16.85,32.1
108,29313,1,4.35,46.1
109,20483,1,19.49,43.3
110,28187,1,8.14,76.2
111,29820,1,3.48,4.5
112,21278,1,8.93,61.9
113,11116,1,3.65,32.8
114,11517,1,16.09,7.8
115,4724,1,8.32,23.7
116,3925,1,7.86,21
117,7148,1,2.28,33.3
118,23635,1,9.56,33.7
119,10239,1,5.73,109.8
120,25778,1,4.15,48.7
121,1605,1,5.6,62.1
122,18980,1,9.44,70.1
123,23425,2,11.71,61.6
124,18884,2,8.1,1
125,23530,2,1.8,63.4
126,6586,2,10.43,5.9
127,9220,2,7.27,49.7
128,2207,2,5.38,17
129,29092,2,14.96,8.9
130,7385,2,17.24,34.8
131,8701,2,9.38,69.6
132,21835,2,10.3,47.9
133,4066,2,5.79,92.2
134,22101,2,13.4,36.5
135,26487,2,2.9,34.6
136,14004,2,15.38,58.2
137,22753,2,7.87,106.1
138,29111,2,9.65,66.6
139,18613,2,10.45,1
140,15133,2,6.02,53.2
141,113,2,0,60
142,26368,2,11.6,69.1
143,6710,2,7.92,40.8
144,27237,2,5.03,77.6
145,31,2,1.88,35.7
146,8330,2,8.99,43.6
147,10724,2,7.9,46.1
148,2053,2,0,79.3
149,18130,2,4.89,35
150,24786,2,0,70.6
151,7817,2,7.76,80.2
152,27007,2,0.58,58.4
153,367,2,6.93,83
154,21022,2,0.24,29.3
155,20943,2,8.71,63.7
156,7381,2,17.63,40.7
157,731,2,11.64,42.3
158,24230,2,4.28,50.1
159,16680,2,11.42,42.7
160,11072,2,4.76,48.6
161,12832,2,9.13,57.5
162,27432,2,4.57,38
163,18650,2,10.68,54
